" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"34083 HERRERA DE PISUERGA",          89,     6255.13,           .,     5229.97,      770.78,     6000.75,    1191.784,           .,           .,           .,           .,
,"34084 HERRERA DE VALDECAÑAS",          23,     1731.54,           .,     1528.51,      160.11,     1688.62,       143.7,           .,           .,           .,           .,
,"34086 HONTORIA DE CERRATO",          20,     1789.02,           .,     1440.28,      248.13,     1688.41,        0.81,           .,           .,           .,           .,
,"34087 HORNILLOS DE CERRATO",          31,     2440.85,           .,     2036.27,      349.15,     2385.42,        83.6,           .,           .,           .,           .,
,"34088 HUSILLOS",          16,      787.79,           .,      194.51,       582.6,      777.11,        29.9,           .,           .,           .,           .,
,"34089 ITERO DE LA VEGA",          31,     1816.63,           .,     1089.23,      723.18,     1812.41,         194,           .,           .,           .,           .,
,"34091 LAGARTOS",          32,     3188.61,           .,     2440.65,       35.57,     2476.22,     488.166,           .,           .,           .,           .,
,"34092 LANTADILLA",          57,     3567.76,           .,     2728.38,      793.65,     3522.03,       611.2,           .,           .,           .,           .,
,"34093 VID DE OJEDA (LA)",          24,     1873.96,           .,     1578.07,      164.78,     1742.85,       438.3,           .,           .,           .,           .,
,"34094 LEDIGOS",          23,     2564.92,           .,     2545.21,       14.31,     2559.52,     336.545,           .,           .,           .,           .,
,"34096 LOMAS",          18,     1882.35,           .,     1456.54,         422,     1878.54,          41,           .,           .,           .,           .,
,"34098 MAGAZ DE PISUERGA",          23,     2472.36,           .,     2019.19,       423.8,     2442.99,           .,           .,           .,           .,           .,
,"34099 MANQUILLOS",          22,      634.63,           .,       153.5,      364.63,      518.13,     200.596,           .,           .,           .,           .,
,"34100 MANTINOS",          17,     1922.25,           .,     1753.65,       91.28,     1844.93,      175.08,           .,           .,           .,           .,
,"34101 MARCILLA DE CAMPOS",          15,     2287.92,           .,     2197.34,       89.75,     2287.09,        44.5,           .,           .,           .,           .,
,"34102 MAZARIEGOS",          44,     2528.94,           .,     1926.64,      589.82,     2516.46,      145.77,           .,           .,           .,           .,
,"34103 MAZUECOS DE VALDEGINATE",          31,     1844.27,           .,     1843.92,        0.03,     1843.95,        75.5,           .,           .,           .,           .,
,"34104 MELGAR DE YUSO",          44,     2607.57,           .,        1454,     1110.82,     2564.82,    1097.105,           .,           .,           .,           .,
,"34106 MENESES DE CAMPOS",          21,      2748.3,           .,     2656.28,       91.62,      2747.9,      1813.8,           .,           .,           .,           .,
,"34107 MICIECES DE OJEDA",          17,     1227.91,           .,     1157.04,       50.85,     1207.89,      138.33,           .,           .,           .,           .,
,"34108 MONZON DE CAMPOS",          37,     2743.63,           .,     1725.06,         952,     2677.06,        64.5,           .,           .,           .,           .,
,"34109 MORATINOS",          20,     1836.08,           .,     1802.06,       21.35,     1823.41,       2.066,           .,           .,           .,           .,
,"34110 MUDA",           8,      430.45,           .,      409.58,           .,      409.58,      56.654,           .,           .,           .,           .,
,"34112 NOGAL DE LAS HUERTAS",          14,      669.95,           .,      531.15,       136.9,      668.05,      65.226,           .,           .,           .,           .,
,"34113 OLEA DE BOEDO",          10,      676.17,           .,       542.4,          33,       575.4,        32.9,           .,           .,           .,           .,
,"34114 OLMOS DE OJEDA",          70,     9862.56,           .,     7506.01,      491.11,     7997.12,     597.208,           .,           .,           .,           .,
,"34116 OSORNILLO",          13,      755.35,           .,      693.61,       61.25,      754.86,        25.5,           .,           .,           .,           .,
,"34120 PALENCIA",         101,     5954.29,           .,     3658.34,      399.29,     4057.63,     869.363,           .,           .,           .,           .,
,"34121 PALENZUELA",          62,     3834.45,           .,     2966.31,      668.29,      3634.6,        94.4,           .,           .,           .,           .,
,"34122 PARAMO DE BOEDO",          16,     2194.57,           .,     1763.15,      138.76,     1901.91,          68,           .,           .,           .,           .,
,"34123 PAREDES DE NAVA",         196,    12917.05,           .,    10512.69,     2041.87,    12554.56,     981.544,           .,           .,           .,           .,
,"34124 PAYO DE OJEDA",          20,     2124.84,           .,     1698.41,       49.67,     1748.08,     141.394,           .,           .,           .,           .,
,"34125 PEDRAZA DE CAMPOS",          20,     1996.39,           .,      1919.9,       73.07,     1992.97,        66.9,           .,           .,           .,           .,
,"34126 PEDROSA DE LA VEGA",          63,     2268.17,           .,     1018.82,     1140.53,     2159.35,    1878.826,           .,           .,           .,           .,
,"34127 PERALES",          19,     2462.68,           .,     1857.57,      431.84,     2289.41,         215,           .,           .,           .,           .,
,"34129 PINO DEL RIO",          48,     4525.21,           .,     2367.91,      286.98,     2654.89,     643.904,           .,           .,           .,           .,
,"34130 PIÑA DE CAMPOS",          33,     1351.82,           .,      516.89,      830.81,      1347.7,      551.01,           .,           .,           .,           .,
,"34131 POBLACION DE ARROYO",          23,     1471.45,           .,     1451.33,        0.01,     1451.34,      63.678,           .,           .,           .,           .,
,"34132 POBLACION DE CAMPOS",          24,     1984.52,           .,     1589.41,      391.56,     1980.97,        38.3,           .,           .,           .,           .,
,"34133 POBLACION DE CERRATO",          27,     1862.82,           .,     1689.73,       91.35,     1781.08,        88.2,           .,           .,           .,           .,
,"34134 POLENTINOS",          10,     1371.56,           .,     1340.26,        0.05,     1340.31,     100.789,           .,           .,           .,           .,
,"34135 POMAR DE VALDIVIA",          62,     6315.28,           .,     4610.96,      549.25,     5160.21,      409.47,           .,           .,           .,           .,
,"34136 POZA DE LA VEGA",          47,     2338.88,           .,     1591.81,      428.94,     2020.75,    1638.104,           .,           .,           .,           .,
,"34137 POZO DE URAMA",          11,       923.9,           .,      920.89,        0.01,       920.9,        19.6,           .,           .,           .,           .,
,"34139 PRADANOS DE OJEDA",          15,     1916.62,           .,     1160.51,       28.87,     1189.38,       113.8,           .,           .,           .,           .,
,"34140 PUEBLA DE VALDAVIA (LA)",          19,     1256.09,           .,     1104.03,       49.44,     1153.47,     121.668,           .,           .,           .,           .,
,"34141 QUINTANA DEL PUENTE",          10,       442.4,           .,      191.51,       216.8,      408.31,         408,           .,           .,           .,           .,
,"34143 QUINTANILLA DE ONSOÑA",          40,     3545.34,           .,     3338.09,       55.62,     3393.71,     653.048,           .,           .,           .,           .,
,"34146 REINOSO DE CERRATO",          17,     1261.65,           .,     1036.56,      168.81,     1205.37,      30.952,           .,           .,           .,           .,
,"34147 RENEDO DE LA VEGA",          32,     1113.66,           .,      327.64,      722.59,     1050.23,     716.284,           .,           .,           .,           .,
,"34149 REQUENA DE CAMPOS",          19,      900.03,           .,      830.97,       62.02,      892.99,          41,           .,           .,           .,           .,
,"34151 RESPENDA DE LA PEÑA",          35,     6336.48,           .,     4984.41,       58.78,     5043.19,         271,           .,           .,           .,           .,
,"34152 REVENGA DE CAMPOS",          22,     1499.72,           .,     1291.94,      204.45,     1496.39,       116.3,           .,           .,           .,           .,
,"34154 REVILLA DE COLLAZOS",          10,     1926.35,           .,     1797.41,       96.91,     1894.32,           .,           .,           .,           .,           .,
,"34155 RIBAS DE CAMPOS",          20,     1212.31,           .,       560.6,      564.17,     1124.77,       604.7,           .,           .,           .,           .,
,"34156 RIBEROS DE LA CUEZA",          16,     2232.09,           .,     2198.35,        28.3,     2226.65,        25.9,           .,           .,           .,           .,
,"34157 SALDAÑA",         105,    11074.63,           .,     9075.24,      381.52,     9456.76,    3417.234,           .,           .,           .,           .,
,"34158 SALINAS DE PISUERGA",          18,     1201.38,           .,      994.93,       20.65,     1015.58,     362.864,           .,           .,           .,           .,
,"34159 SAN CEBRIAN DE CAMPOS",          54,     2817.27,           .,     1494.88,     1284.99,     2779.87,       278.3,           .,           .,           .,           .,
,"34160 SAN CEBRIAN DE MUDA",          15,      2411.6,           .,     1775.61,        0.05,     1775.66,      362.76,           .,           .,           .,           .,
,"34161 SAN CRISTOBAL DE BOEDO",          10,      868.66,           .,      794.23,        7.74,      801.97,           .,           .,           .,           .,           .,
,"34163 SAN MAMES DE CAMPOS",          12,     1703.58,           .,     1667.53,         2.5,     1670.03,          25,           .,           .,           .,           .,
,"34165 SAN ROMAN DE LA CUBA",          25,      1825.5,           .,     1810.93,        5.39,     1816.32,       55.34,           .,           .,           .,           .,
,"34167 SANTA CECILIA DEL ALCOR",          19,     2165.09,           .,     2127.28,        7.99,     2135.27,        30.6,           .,           .,           .,           .,
,"34168 SANTA CRUZ DE BOEDO",          10,     1371.84,           .,      1322.3,       22.11,     1344.41,          30,           .,           .,           .,           .,
,"34169 SANTERVAS DE LA VEGA",          60,     6061.95,           .,     4615.82,      492.47,     5108.29,    2915.011,           .,           .,           .,           .,
,"34170 SANTIBAÑEZ DE ECLA",          15,     1529.15,           .,     1477.76,        2.11,     1479.87,      353.62,           .,           .,           .,           .,
,"34171 SANTIBAÑEZ DE LA PEÑA",          44,     5219.08,           .,     3801.63,       17.92,     3819.55,    3067.324,           .,           .,           .,           .,
,"34174 SANTOYO",          52,     2374.46,           .,     1341.91,      960.11,     2302.02,     160.961,           .,           .,           .,           .,
,"34175 SERNA (LA)",          17,        1190,           .,       968.5,      213.53,     1182.03,      537.52,           .,           .,           .,           .,
,"34176 SOTOBAÑADO Y PRIORATO",          24,     2402.04,           .,     2319.65,        61.7,     2381.35,        39.7,           .,           .,           .,           .,
,"34177 SOTO DE CERRATO",          14,     1050.95,           .,       544.3,      499.97,     1044.27,        83.7,           .,           .,           .,           .,
,"34178 TABANERA DE CERRATO",          40,     3929.16,           .,      3843.4,        31.2,      3874.6,      12.704,           .,           .,           .,           .,
,"34179 TABANERA DE VALDAVIA",          12,     2282.07,           .,     2237.44,         7.3,     2244.74,        38.5,           .,           .,           .,           .,
,"34180 TAMARA DE CAMPOS",          17,     1909.72,           .,     1599.41,      296.11,     1895.52,       59.75,           .,           .,           .,           .,
,"34181 TARIEGO DE CERRATO",          17,     1550.44,           .,      848.66,      174.04,      1022.7,     162.141,           .,           .,           .,           .,
,"34182 TORQUEMADA",          96,     7417.88,           .,      5245.1,     1753.38,     6998.48,      96.232,           .,           .,           .,           .,
,"34184 TORREMORMOJON",           8,     2658.78,           .,     2658.68,           .,     2658.68,       143.1,           .,           .,           .,           .,
,"34185 TRIOLLO",          12,     2570.99,           .,      548.11,        0.06,      548.17,     449.996,           .,           .,           .,           .,
,"34186 VALBUENA DE PISUERGA",          16,     2215.12,           .,     1207.45,       50.54,     1257.99,      81.743,           .,           .,           .,           .,
,"34189 VALDEOLMILLOS",          14,      2262.2,           .,     2045.69,       61.96,     2107.65,       0.154,           .,           .,           .,           .,
,"34190 VALDERRABANO",          15,     3473.97,           .,     3081.46,       15.96,     3097.42,      456.59,           .,           .,           .,           .,
,"34192 VALDE-UCIEZA",          47,     3987.95,           .,     3887.89,       78.88,     3966.77,       447.6,           .,           .,           .,           .,
,"34196 VALLE DE CERRATO",          29,     2268.34,           .,     2206.11,       37.59,      2243.7,        61.6,           .,           .,           .,           .,
,"34199 VELILLA DEL RIO CARRION",          44,       10478,           .,     1639.97,          27,     1666.97,     1332.74,           .,           .,           .,           .,
,"34201 VERTAVILLO",          38,     4097.39,           .,     3759.15,      204.46,     3963.61,     245.115,           .,           .,           .,           .,
,"34202 VILLABASTA DE VALDAVIA",           8,     1500.09,           .,     1176.28,       29.16,     1205.44,       482.7,           .,           .,           .,           .,
,"34204 VILLACIDALER",          19,     1571.64,           .,     1550.22,       14.33,     1564.55,      68.728,           .,           .,           .,           .,
,"34205 VILLACONANCIO",          17,     2073.09,           .,     2009.39,       32.89,     2042.28,        83.2,           .,           .,           .,           .,
,"34206 VILLADA",          81,     6676.03,           .,      6658.1,        8.19,     6666.29,       190.2,           .,           .,           .,           .,
,"34208 VILLAELES DE VALDAVIA",          11,     1966.62,           .,      952.88,       40.71,      993.59,        91.1,           .,           .,           .,           .,
,"34210 VILLAHAN",          20,     2819.38,           .,     2629.75,      135.81,     2765.56,        33.2,           .,           .,           .,           .,
,"34211 VILLAHERREROS",          38,     3974.07,           .,     3805.31,       148.2,     3953.51,     155.459,           .,           .,           .,           .,
,"34213 VILLALACO",          12,      635.56,           .,      472.45,      134.29,      606.74,       189.8,           .,           .,           .,           .,
,"34214 VILLALBA DE GUARDO",          21,     2523.52,           .,     1742.28,        89.3,     1831.58,      38.122,           .,           .,           .,           .,
,"34215 VILLALCAZAR DE SIRGA",          26,     3228.47,           .,     3159.09,       64.83,     3223.92,     242.738,           .,           .,           .,           .,
,"34216 VILLALCON",          25,     2317.11,           .,      2303.4,       11.21,     2314.61,        39.8,           .,           .,           .,           .,
,"34217 VILLALOBON",          16,     1355.79,           .,      868.59,       10.83,      879.42,       30.61,           .,           .,           .,           .,
,"34218 VILLALUENGA DE LA VEGA",          86,     2895.22,           .,     1477.15,     1246.29,     2723.44,    2206.015,           .,           .,           .,           .,
,"34220 VILLAMARTIN DE CAMPOS",          34,     2866.37,           .,     2326.61,      471.95,     2798.56,      659.87,           .,           .,           .,           .,
,"34221 VILLAMEDIANA",          37,     5337.41,           .,     3773.27,       578.9,     4352.17,       165.9,           .,           .,           .,           .,
,"34222 VILLAMERIEL",          37,     5524.85,           .,     4939.73,       71.29,     5011.02,     245.473,           .,           .,           .,           .,
,"34223 VILLAMORONTA",          32,     1457.44,           .,     1063.69,      385.97,     1449.66,       693.5,           .,           .,           .,           .,
,"34224 VILLAMUERA DE LA CUEZA",          27,     2984.52,           .,     2867.79,       57.68,     2925.47,       144.4,           .,           .,           .,           .,
,"34225 VILLAMURIEL DE CERRATO",          37,     2041.76,           .,     1163.61,       826.4,     1990.01,    2187.968,           .,           .,           .,           .,
,"34227 VILLANUEVA DEL REBOLLAR",          20,      1323.6,           .,     1258.66,       55.57,     1314.23,       165.8,           .,           .,           .,           .,
,"34228 VILLANUÑO DE VALDAVIA",          22,     3090.11,           .,     1906.99,      105.54,     2012.53,       123.9,           .,           .,           .,           .,
,"34229 VILLAPROVEDO",          18,     2397.57,           .,     2372.76,       12.06,     2384.82,        90.3,           .,           .,           .,           .,
,"34230 VILLARMENTERO DE CAMPOS",           6,      592.61,           .,      508.08,       84.38,      592.46,       25.72,           .,           .,           .,           .,
,"34231 VILLARRABE",          60,     6895.65,           .,      6271.4,      248.54,     6519.94,      1504.2,           .,           .,           .,           .,
,"34232 VILLARRAMIEL",          29,      3710.3,           .,     3530.99,       72.93,     3603.92,      105.75,           .,           .,           .,           .,
,"34233 VILLASARRACINO",          24,     2250.96,           .,     2249.58,        0.05,     2249.63,       146.1,           .,           .,           .,           .,
,"34234 VILLASILA DE VALDAVIA",          20,     2443.25,           .,     1349.85,       60.09,     1409.94,       121.2,           .,           .,           .,           .,
,"34236 VILLATURDE",          37,     2063.45,           .,     1178.77,      725.65,     1904.42,       506.7,           .,           .,           .,           .,
,"34237 VILLAUMBRALES",          89,     3497.55,           .,     1526.84,     1899.89,     3426.73,     997.616,           .,           .,           .,           .,
,"34238 VILLAVIUDAS",          62,     3586.15,           .,     3115.57,      436.99,     3552.56,          92,           .,           .,           .,           .,
,"34240 VILLERIAS DE CAMPOS",          16,     2574.21,           .,     2520.66,        1.32,     2521.98,      102.38,           .,           .,           .,           .,
,"34241 VILLODRE",          13,      630.54,           .,      395.94,      230.17,      626.11,      71.184,           .,           .,           .,           .,
,"34242 VILLODRIGO",          10,      801.62,           .,      741.68,       58.51,      800.19,       6.675,           .,           .,           .,           .,
,"34243 VILLOLDO",          51,     3406.27,           .,     1497.55,     1723.56,     3221.11,      219.08,           .,           .,           .,           .,
,"34245 VILLOTA DEL PARAMO",          68,      7200.2,           .,      5080.3,      166.32,     5246.62,      786.13,           .,           .,           .,           .,
,"34246 VILLOVIECO",          20,     2298.79,           .,     2141.77,      140.12,     2281.89,      295.59,           .,           .,           .,           .,
,"34901 OSORNO LA MAYOR",          95,    10010.27,           .,      8191.2,     1400.29,     9591.49,      266.53,           .,           .,           .,           .,
,"34902 VALLE DEL RETORTILLO",          74,     5449.27,           .,     5370.54,       51.62,     5422.16,     534.284,           .,           .,           .,           .,
,"34903 LOMA DE UCIEZA",          53,     5171.73,           .,     4988.95,       67.07,     5056.02,     207.884,           .,           .,           .,           .,
,"34904 PERNIA (LA)",          63,    14742.88,           .,    10855.14,        0.23,    10855.37,    2375.976,           .,           .,           .,           .,
,"37001 ABUSEJO",          13,      1670.8,           .,     1588.94,        0.07,     1589.01,     886.005,           .,           .,           .,           .,
,"37002 AGALLAS",          22,     2166.17,           .,       740.1,        0.58,      740.68,     231.165,           .,           .,           .,           .,
,"37003 AHIGAL DE LOS ACEITEROS",          31,      2150.1,           .,     1997.68,        2.65,     2000.33,     729.582,           .,           .,           .,           .,
,"37004 AHIGAL DE VILLARINO",          15,      1697.7,           .,     1585.34,        0.01,     1585.35,       978.8,           .,           .,           .,           .,
,"37005 ALAMEDA DE GARDON (LA)",          19,      1095.2,           .,     1027.78,        0.24,     1028.02,     526.528,           .,           .,           .,           .,
,"37006 ALAMEDILLA (LA)",          18,     1224.32,           .,     1149.76,        0.09,     1149.85,     710.759,           .,           .,           .,           .,
,"37007 ALARAZ",          81,     3627.79,           .,      3546.7,        6.57,     3553.27,    3492.143,           .,           .,           .,           .,
,"37008 ALBA DE TORMES",         129,     4356.87,           .,      3717.3,      531.23,     4248.53,    7193.077,           .,           .,           .,           .,
,"37009 ALBA DE YELTES",          28,     1674.19,           .,     1580.64,        7.86,      1588.5,    1370.571,           .,           .,           .,           .,
,"37010 ALBERCA (LA)",          24,      241.29,           .,      167.69,       32.87,      200.56,     109.951,           .,           .,           .,           .,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",          23,     2032.96,           .,     1943.18,        0.12,      1943.3,    1051.626,           .,           .,           .,           .,
,"37012 ALCONADA",          29,     1667.56,           .,     1295.34,       354.4,     1649.74,     225.451,           .,           .,           .,           .,
,"37013 ALDEACIPRESTE",          40,     3060.89,           .,     2811.37,       25.19,     2836.56,    1491.398,           .,           .,           .,           .,
,"37014 ALDEADAVILA DE LA RIBERA",         199,     2069.34,           .,     1711.01,        4.86,     1715.87,     528.748,           .,           .,           .,           .,
,"37015 ALDEA DEL OBISPO",          27,     2925.23,           .,     2725.24,        2.29,     2727.53,    1329.318,           .,           .,           .,           .,
,"37016 ALDEALENGUA",          27,      456.06,           .,      254.72,      200.01,      454.73,           .,           .,           .,           .,           .,
,"37017 ALDEANUEVA DE FIGUEROA",          62,        4368,           .,     3740.37,      559.68,     4300.05,     139.282,           .,           .,           .,           .,
,"37018 ALDEANUEVA DE LA SIERRA",          12,     1367.28,           .,     1298.67,        0.02,     1298.69,     229.169,           .,           .,           .,           .,
,"37019 ALDEARRODRIGO",          19,      803.03,           .,      755.34,       11.04,      766.38,     293.874,           .,           .,           .,           .,
,"37020 ALDEARRUBIA",          70,     2659.05,           .,     1178.22,     1428.71,     2606.93,       262.6,           .,           .,           .,           .,
,"37021 ALDEASECA DE ALBA",          39,     1552.01,           .,     1446.54,       77.25,     1523.79,    1045.847,           .,           .,           .,           .,
,"37022 ALDEASECA DE LA FRONTERA",          81,      2376.6,           .,     2014.84,      355.28,     2370.12,    1366.363,           .,           .,           .,           .,
,"37023 ALDEATEJADA",          25,     2909.29,           .,     2833.42,        6.88,      2840.3,    1433.397,           .,           .,           .,           .,
,"37024 ALDEAVIEJA DE TORMES",          11,      571.18,           .,      524.67,        0.03,       524.7,      1242.6,           .,           .,           .,           .,
,"37025 ALDEHUELA DE LA BOVEDA",          32,     6732.52,           .,     6339.08,       95.81,     6434.89,    4914.701,           .,           .,           .,           .,
,"37026 ALDEHUELA DE YELTES",          40,     3724.21,           .,     3299.38,         4.3,     3303.68,     2282.32,           .,           .,           .,           .,
,"37027 ALMENARA DE TORMES",          24,     1713.77,           .,     1316.78,      326.91,     1643.69,     151.212,           .,           .,           .,           .,
,"37028 ALMENDRA",          15,     2300.26,           .,     2187.97,        0.18,     2188.15,     1353.52,           .,           .,           .,           .,
,"37029 ANAYA DE ALBA",          35,     3578.61,           .,     3455.28,       25.53,     3480.81,     1942.91,           .,           .,           .,           .,
,"37030 AÑOVER DE TORMES",          23,     1742.15,           .,     1649.18,        0.07,     1649.25,     867.606,           .,           .,           .,           .,
,"37031 ARABAYONA DE MOGICA",          76,     2191.16,           .,     1577.18,      609.72,      2186.9,         2.7,           .,           .,           .,           .,
,"37032 ARAPILES",          46,     2205.19,           .,     2124.55,       17.35,      2141.9,    1031.469,           .,           .,           .,           .,
,"37033 ARCEDIANO",          27,      843.48,           .,      766.66,       60.99,      827.65,     244.084,           .,           .,           .,           .,
,"37034 ARCO (EL)",          16,      522.32,           .,      483.55,        7.75,       491.3,     192.866,           .,           .,           .,           .,
,"37035 ARMENTEROS",          35,     2838.25,           .,     2674.39,       10.75,     2685.14,     2347.39,           .,           .,           .,           .,
,"37036 SAN MIGUEL DEL ROBLEDO",           7,      746.92,           .,      715.72,         0.8,      716.52,         128,           .,           .,           .,           .,
,"37037 ATALAYA (LA)",          30,     2109.66,           .,     1999.18,       29.04,     2028.22,     669.787,           .,           .,           .,           .,
,"37038 BABILAFUENTE",          64,     1841.66,           .,      628.64,     1206.86,      1835.5,       290.4,           .,           .,           .,           .,
,"37039 BAÑOBAREZ",          35,     4637.85,           .,     4423.45,        0.13,     4423.58,      1986.6,           .,           .,           .,           .,
,"37040 BARBADILLO",          33,     2284.62,           .,     2196.19,       29.47,     2225.66,       507.5,           .,           .,           .,           .,
,"37041 BARBALOS",          29,      3348.3,           .,     3167.65,        0.04,     3167.69,    2458.564,           .,           .,           .,           .,
,"37042 BARCEO",          16,     1870.02,           .,     1792.93,        0.04,     1792.97,    1126.324,           .,           .,           .,           .,
,"37044 BARRUECOPARDO",          43,     2847.25,           .,     2703.98,        0.36,     2704.34,      1195.8,           .,           .,           .,           .,
,"37045 BASTIDA (LA)",           9,     1258.42,           .,      581.86,        0.84,       582.7,         4.5,           .,           .,           .,           .,
,"37046 BEJAR",          52,     4056.78,           .,     2040.08,       19.53,     2059.61,     1566.14,           .,           .,           .,           .,
,"37047 BELEÑA",          15,     1880.18,           .,     1755.65,       28.59,     1784.24,     1355.45,           .,           .,           .,           .,
,"37049 BERMELLAR",          38,     1836.72,           .,     1714.18,        3.07,     1717.25,     561.382,           .,           .,           .,           .,
,"37050 BERROCAL DE HUEBRA",          25,     3584.82,           .,     3373.74,        0.03,     3373.77,    2774.896,           .,           .,           .,           .,
,"37051 BERROCAL DE SALVATIERRA",          15,     2008.88,           .,     1897.65,           8,     1905.65,     1157.22,           .,           .,           .,           .,
,"37052 BOADA",          30,     2608.96,           .,     2475.91,        3.46,     2479.37,    1780.868,           .,           .,           .,           .,
,"37054 BODON (EL)",          35,     4698.11,           .,     4391.74,        28.4,     4420.14,    3307.773,           .,           .,           .,           .,
,"37055 BOGAJO",          33,     3183.17,           .,      2986.4,        0.08,     2986.48,     1425.84,           .,           .,           .,           .,
,"37056 BOUZA (LA)",          17,      1229.5,           .,     1146.31,       12.59,      1158.9,     462.692,           .,           .,           .,           .,
,"37057 BOVEDA DEL RIO ALMAR",          65,     1661.75,           .,     1569.64,       67.47,     1637.11,    2025.854,           .,           .,           .,           .,
,"37058 BRINCONES",          11,     1099.46,           .,     1034.83,         0.4,     1035.23,     485.581,           .,           .,           .,           .,
,"37059 BUENAMADRE",          29,     5215.05,           .,     4957.13,        7.94,     4965.07,     4000.61,           .,           .,           .,           .,
,"37060 BUENAVISTA",          13,     2357.72,           .,      2257.8,        8.97,     2266.77,    1671.409,           .,           .,           .,           .,
,"37061 CABACO (EL)",          23,     3015.54,           .,     2921.52,        0.33,     2921.85,    2199.264,           .,           .,           .,           .,
,"37062 CABEZABELLOSA DE LA CALZADA",          26,      856.44,           .,      714.25,      127.27,      841.52,       142.7,           .,           .,           .,           .,
,"37063 CABEZA DE BEJAR (LA)",          14,     1020.92,           .,      958.39,        0.06,      958.45,      661.36,           .,           .,           .,           .,
,"37065 CABEZA DEL CABALLO",          40,     3960.25,           .,     3721.92,       26.88,      3748.8,    2326.554,           .,           .,           .,           .,
,"37067 CABRERIZOS",          24,      688.14,           .,      577.73,       76.97,       654.7,     157.453,           .,           .,           .,           .,
,"37068 CABRILLAS",          27,     2146.69,           .,     2078.93,        8.77,      2087.7,     866.671,           .,           .,           .,           .,
,"37069 CALVARRASA DE ABAJO",          79,     2410.77,           .,      836.17,     1553.65,     2389.82,       226.7,           .,           .,           .,           .,
,"37070 CALVARRASA DE ARRIBA",          48,     2466.13,           .,     2290.64,      128.54,     2419.18,     336.356,           .,           .,           .,           .,
,"37071 CALZADA DE BEJAR (LA)",          14,       492.3,           .,      450.85,        0.03,      450.88,     475.305,           .,           .,           .,           .,
,"37072 CALZADA DE DON DIEGO",          37,     4255.54,           .,     4030.59,      162.42,     4193.01,      1268.3,           .,           .,           .,           .,
,"37073 CALZADA DE VALDUNCIEL",          65,     2303.07,           .,     2227.74,       61.49,     2289.23,       83.12,           .,           .,           .,           .,
,"37074 CAMPILLO DE AZABA",          33,     2437.17,           .,     2221.96,       10.58,     2232.54,     1504.51,           .,           .,           .,           .,
,"37077 CAMPO DE PEÑARANDA (EL)",         104,     4449.44,           .,      3480.3,      663.15,     4143.45,    1207.458,           .,           .,           .,           .,
,"37078 CANDELARIO",          19,     1813.92,           .,     1275.76,       80.93,     1356.69,         501,           .,           .,           .,           .,
,"37079 CANILLAS DE ABAJO",          31,     3652.96,           .,     3546.21,       21.81,     3568.02,    1149.294,           .,           .,           .,           .,
,"37080 CANTAGALLO",          11,      431.06,           .,      392.04,        5.55,      397.59,      353.47,           .,           .,           .,           .,
,"37081 CANTALAPIEDRA",         122,     6959.94,           .,     5444.46,     1474.81,     6919.27,     796.965,           .,           .,           .,           .,
,"37082 CANTALPINO",         140,     7672.88,           .,     6257.55,     1345.88,     7603.43,    1147.399,           .,           .,           .,           .,
,"37083 CANTARACILLO",          51,      3443.5,           .,     3366.55,       66.13,     3432.68,     239.308,           .,           .,           .,           .,
,"37085 CARBAJOSA DE LA SAGRADA",           9,      858.63,           .,      822.63,         3.5,      826.13,       253.8,           .,           .,           .,           .,
,"37086 CARPIO DE AZABA",          23,     3885.53,           .,     3648.17,        3.79,     3651.96,      1963.5,           .,           .,           .,           .,
,"37087 CARRASCAL DE BARREGAS",          45,     7530.77,           .,     7125.41,      188.77,     7314.18,    2246.331,           .,           .,           .,           .,
,"37088 CARRASCAL DEL OBISPO",          21,     3454.03,           .,     3285.98,           .,     3285.98,    2543.256,           .,           .,           .,           .,
,"37089 CASAFRANCA",          17,      2099.1,           .,     1979.56,        0.02,     1979.58,    1115.915,           .,           .,           .,           .,
,"37090 CASAS DEL CONDE (LAS)",          10,       28.28,           .,       25.19,        1.09,       26.28,           .,           .,           .,           .,           .,
,"37091 CASILLAS DE FLORES",          38,     3018.11,           .,     2829.02,        0.04,     2829.06,    2014.906,           .,           .,           .,           .,
