" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"05078 FUENTES DE AÑO",          65,        1613,        1495,        1324,         171,        1609,         427,          70,           4,          51,  527207.818,
,"05079 GALLEGOS DE ALTAMIROS",         177,        2024,           3,           1,           2,        1864,         248,         189,           1,           8,  131273.064,
,"05080 GALLEGOS DE SOBRINOS",          83,        4267,         308,         308,           .,        3555,         891,          85,           5,          30,  403567.608,
,"05081 GARGANTA DEL VILLAR",          74,        1786,          34,          32,           2,        1776,         544,          97,           2,          15,  279717.044,
,"05082 GAVILANES",         263,        2678,         309,         226,          83,        1134,         832,         376,           3,         114,  543729.641,
,"05083 GEMUÑO",          99,        1494,         705,         689,          16,        1416,         566,         137,           4,          42,  319510.055,
,"05084 GILBUENA",          83,        1094,         130,          67,          63,         901,         485,         119,           2,          16,    248752.9,
,"05085 GIL GARCIA",          48,        1490,           8,           .,           8,        1221,         332,          64,           5,          14,  275329.655,
,"05086 GIMIALCON",          61,        1612,        1564,        1563,           .,        1610,         157,          73,           1,          51,  315867.922,
,"05087 GOTARRENDURA",          43,        1323,        1281,        1229,          52,        1314,         458,          51,           6,          62,  360450.999,
,"05088 GRANDES Y SAN MARTIN",          44,        1058,         797,         796,           1,         829,         396,          51,           2,          33,  257936.365,
,"05089 GUISANDO",         214,        3958,         193,         177,          16,         671,         494,         242,           3,           3,  205960.838,
,"05090 GUTIERRE-MUÑOZ",          41,        2031,        1889,        1870,          18,        1912,         261,          63,           9,          38,   422054.74,
,"05092 HERNANSANCHO",          65,        1686,        1270,        1257,          13,        1367,         674,          64,           5,          45,  413135.721,
,"05093 HERRADON DE PINARES",         141,        4546,          12,           9,           3,        4228,        1676,         147,           2,           1,  626368.805,
,"05094 HERREROS DE SUSO",          71,        1840,        1621,        1618,           3,        1746,         676,          82,           2,          57,  436581.203,
,"05095 HIGUERA DE LAS DUEÑAS",          97,        3399,         139,          87,          52,        3197,         763,         114,           7,          19,  327076.797,
,"05096 HIJA DE DIOS (LA)",         119,        1234,          29,          20,           9,         241,         373,         123,           1,          13,  187461.685,
,"05097 HORCAJADA (LA)",         396,        3043,         518,         397,         121,        2527,        1450,         471,           4,          73,  703394.516,
,"05099 HORCAJO DE LAS TORRES",         146,        4474,        4379,        4041,         338,        4421,         974,         178,           6,         169,  1363456.06,
,"05100 HORNILLO (EL)",         259,        2383,         164,          76,          88,         838,          39,         489,           2,          42,  184871.323,
,"05101 HOYOCASERO",         125,        4138,          34,           6,          28,        3900,         612,         201,           1,          31,   270124.89,
,"05102 HOYO DE PINARES (EL)",         656,        6569,         223,         222,           1,         711,         683,         737,           2,          15,   308860.12,
,"05103 HOYORREDONDO",         102,        1331,          62,          62,           .,        1280,         419,         124,           1,          12,  184967.485,
,"05104 HOYOS DEL COLLADO",          29,         955,          34,          26,           9,         931,         508,          38,           2,           6,  209945.548,
,"05105 HOYOS DEL ESPINO",          44,        4937,           2,           1,           1,        4454,        1388,          59,           7,          24, 1445428.101,
,"05106 HOYOS DE MIGUEL MUÑOZ",          31,         994,           2,           .,           2,         576,         488,          44,           2,           5,  190088.108,
,"05107 HURTUMPASCUAL",          67,        1479,         329,         329,           .,        1465,         656,          69,           1,          31,  310927.602,
,"05108 JUNCIANA",          79,         959,          45,          37,           8,         743,         291,          87,           2,           8,  130323.465,
,"05109 LANGA",         107,        2299,        1984,        1628,         356,        2262,         911,         145,          11,         126,  944508.552,
,"05110 LANZAHITA",         223,        3315,        1105,         751,         354,        2533,         557,         282,          16,          68,  739106.656,
,"05112 LOSAR DEL BARCO (EL)",         108,        1441,         120,          73,          47,        1046,         542,         144,           6,          18,  239527.364,
,"05113 LLANOS DE TORMES (LOS)",         106,        1550,          90,           .,          90,         676,         288,         141,          22,           4,  237916.652,
,"05114 MADRIGAL DE LAS ALTAS TORRES",         171,        8953,        8792,        7950,         842,        8825,        1308,         199,          73,         224, 2775245.513,
,"05115 MAELLO",         117,        5617,        1544,        1538,           6,        5169,         915,         155,           9,          67,   556603.32,
,"05116 MALPARTIDA DE CORNEJA",          99,        1892,         546,         545,           1,        1349,         675,         124,           1,          45,  371437.501,
,"05117 MAMBLAS",          74,        2274,        2194,        1962,         232,        2268,         339,          87,           3,          82,  681084.947,
,"05118 MANCERA DE ARRIBA",          49,        1124,        1038,        1036,           2,        1097,         392,          53,           1,          22,  275407.787,
,"05119 MANJABALAGO",          72,        1194,          11,          10,           1,        1166,         384,          90,           1,          10,  155710.216,
,"05120 MARLIN",          34,         628,          44,          43,           1,         510,         309,          32,           4,           6,  100170.687,
,"05121 MARTIHERRERO",          97,        1853,          71,          59,          12,         528,         667,         116,           3,          22,   289976.32,
,"05122 MARTINEZ",          87,        1253,         154,         153,           .,        1253,        1070,         128,           1,          47,   387760.99,
,"05123 MEDIANA DE VOLTOYA",          76,        1759,         210,         210,           .,        1759,         246,          78,           1,          15,  150679.745,
,"05124 MEDINILLA",         121,        1628,         130,         127,           3,        1331,         804,         137,           2,          18,  333327.323,
,"05125 MENGAMUÑOZ",          39,        1181,          16,           6,          10,         413,         288,          43,           3,          18,  123255.562,
,"05126 MESEGAR DE CORNEJA",         126,        1205,         250,         241,          10,        1045,         401,         128,           2,          28,  214092.532,
,"05127 MIJARES",         259,        4007,         240,         180,          60,        2878,         748,         374,           3,          96,   499489.14,
,"05128 MINGORRIA",          80,        2396,        1569,        1560,           9,        1931,         346,          83,          10,          28,  320832.282,
,"05129 MIRON (EL)",         135,        2690,          41,          40,           1,        2542,         827,         166,           1,          22,  363071.412,
,"05130 MIRONCILLO",          50,        1206,         803,         803,           .,         937,         425,          53,           3,          11,  268363.925,
,"05131 MIRUEÑA DE LOS INFANZONES",          99,        1737,         823,         823,           .,        1156,         622,         107,           .,          44,   319251.62,
,"05132 MOMBELTRAN",         383,        5075,         573,         368,         205,        3040,         429,         588,           9,         107,  875536.403,
,"05133 MONSALUPE",          32,        1327,         990,         987,           3,        1118,         274,          34,           7,          29,  259823.543,
,"05134 MORALEJA DE MATACABRAS",          16,        1027,         991,         835,         156,        1022,          73,          15,           8,          23,  346447.417,
,"05135 MUÑANA",         172,        3143,         764,         764,           .,        2463,         911,         171,           8,          67,  449761.398,
,"05136 MUÑICO",         121,        1222,         659,         639,          20,        1167,         329,         120,           1,          18,  298703.016,
,"05138 MUÑOGALINDO",         126,        1700,         954,         953,           1,        1349,        1037,         123,           8,          48,   473681.68,
,"05139 MUÑOGRANDE",          48,        1474,        1437,        1427,          10,        1470,         561,          65,           7,          64,  435908.069,
,"05140 MUÑOMER DEL PECO",          37,         653,         612,         590,          22,         650,        1054,          57,           3,          52,  452105.345,
,"05141 MUÑOPEPE",          62,         508,         144,         139,           5,         469,         159,          69,           5,          15,   86317.358,
,"05142 MUÑOSANCHO",          57,        1595,        1562,        1555,           7,        1587,         308,          63,           6,          46,  375025.543,
,"05143 MUÑOTELLO",         128,        1892,         322,         312,          10,         740,         611,         137,           1,          13,   320748.14,
,"05144 NARRILLOS DEL ALAMO",          77,        2519,         336,         335,           1,        2519,         929,          96,           7,          21,  392382.773,
,"05145 NARRILLOS DEL REBOLLAR",          82,        1565,           4,           .,           4,        1501,         439,         100,           1,           5,  179287.921,
,"05147 NARROS DEL CASTILLO",          74,        3153,        2922,        2888,          33,        3066,         793,          85,           7,          81,  663409.181,
,"05148 NARROS DEL PUERTO",         116,         960,          83,          78,           6,         386,          98,         127,           2,          10,  101330.641,
,"05149 NARROS DE SALDUEÑA",          51,         978,         919,         908,          12,         972,         378,          58,           1,          32,  281922.758,
,"05151 NAVACEPEDILLA DE CORNEJA",          49,        2545,          12,           .,          12,         477,         576,          74,           2,          10,  193543.928,
,"05152 NAVA DE AREVALO",         240,        5661,        4227,        2057,        2170,        4552,        1202,         343,          21,         286,  2508444.22,
,"05153 NAVA DEL BARCO",         165,        2901,         187,          32,         155,         572,         402,         221,           2,          57,  240344.741,
,"05154 NAVADIJOS",          49,        2017,          38,          37,           1,        1865,         684,          66,           1,          22,  270659.791,
,"05155 NAVAESCURIAL",          63,        3403,          15,           1,          14,        2562,         527,          73,           5,          22,  412690.972,
,"05156 NAVAHONDILLA",          47,        1946,          69,          68,           1,        1770,         246,          53,           6,           .,  110640.318,
,"05157 NAVALACRUZ",         106,        5033,          20,           .,          20,         722,         779,         146,           1,          23,  323584.917,
,"05158 NAVALMORAL",         274,        4380,          90,          79,          11,        3536,        1123,         421,           3,          79,  490365.776,
,"05159 NAVALONGUILLA",         181,        9267,          38,           3,          35,        5188,        1931,         272,           4,          35, 1236528.314,
,"05160 NAVALOSA",         115,        2342,          23,           6,          17,         344,         660,         182,           1,           7,  263537.798,
,"05161 NAVALPERAL DE PINARES",         363,        4487,           2,           2,           .,        4176,        1309,         387,           5,          51,  585734.377,
,"05162 NAVALPERAL DE TORMES",          90,        6005,          15,           3,          12,        4332,         862,         128,           7,          17,  621422.475,
,"05163 NAVALUENGA",         723,        6804,         171,          77,          94,        2460,        1181,         954,          11,          63,  616548.267,
,"05164 NAVAQUESERA",          25,         900,           6,           2,           4,         191,          71,          40,           1,           1,   32568.846,
,"05165 NAVARREDONDA DE GREDOS",          99,        7326,           4,           .,           4,        5740,        1952,         116,           8,          43, 1115490.486,
,"05166 NAVARREDONDILLA",         185,        1858,          34,          20,          15,         312,         321,         237,           1,          29,  150271.056,
,"05167 NAVARREVISCA",         226,        3028,          50,           8,          42,         791,         771,         331,           6,          22,  371022.802,
,"05168 NAVAS DEL MARQUES (LAS)",         208,        8866,           1,           1,           .,        1199,        4450,         215,           6,          87, 1359417.259,
,"05169 NAVATALGORDO",         396,        4316,         220,         152,          68,         838,         461,         552,           2,          36,  279831.236,
,"05170 NAVATEJARES",         138,         926,          32,           .,          32,         217,         179,         153,           1,           7,   86527.713,
,"05171 NEILA DE SAN MIGUEL",          58,         600,          66,          65,           1,         532,         205,          72,           1,          13,   99623.766,
,"05172 NIHARRA",          63,        1231,         912,         902,          10,        1231,         616,          72,           8,          47,  341170.531,
,"05173 OJOS-ALBOS",          47,        3783,         216,         136,          80,        3416,         351,          52,           5,           9,  174053.105,
,"05174 ORBITA",          41,         959,         850,         825,          25,         888,         230,          59,           1,          30,  237393.771,
,"05175 OSO (EL)",          64,        1758,        1403,        1386,          18,        1602,         527,          67,           4,          40,  401458.055,
,"05176 PADIERNOS",         113,        3131,         860,         826,          34,        1789,         857,         116,           5,          37,  495907.108,
,"05177 PAJARES DE ADAJA",          81,        2156,        2009,        2008,           1,        2107,         391,          92,           1,          49,  490828.555,
,"05178 PALACIOS DE GODA",         125,        4704,        3604,        3210,         394,        3757,         693,         180,           6,         123, 1195869.845,
,"05179 PAPATRIGO",          70,        1524,        1425,        1380,          45,        1513,         650,          93,           2,          60,   505980.07,
,"05180 PARRAL (EL)",          52,        1151,         780,         779,           1,         943,         773,          56,           4,          37,  362903.129,
,"05181 PASCUALCOBO",         141,        1759,          10,          10,           .,        1757,         535,         160,           .,           9,  226996.262,
,"05182 PEDRO BERNARDO",         533,        6036,         769,         749,          20,        2264,         610,        1110,           3,          47,   372897.96,
,"05183 PEDRO-RODRIGUEZ",         100,        1215,         851,         702,         150,         906,         484,         122,           3,          74,  414494.008,
,"05184 PEGUERINOS",         145,        6620,           .,           .,           .,        5612,        1898,         157,           7,          10,  813962.713,
,"05185 PEÑALBA DE AVILA",          55,        1867,        1303,        1223,          80,        1715,         562,          73,           9,          51,  429182.744,
,"05186 PIEDRAHITA",         176,        2393,         257,         239,          17,        1932,        1818,         211,           7,          66,  809076.485,
,"05187 PIEDRALAVES",         532,        4694,         295,         268,          27,        1154,        1565,         728,          11,         155,  731173.296,
